,기관코드_int,기관코드_str,시군구별(1),시군구별(2),계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,한방병원,한의원,보건소,보건지소,보건진료소,보건의료원,조산원,약국
174,28140,28140,인천,동구,122,-,2,-,-,42,-,25,-,18,1,-,-,-,-,34
175,28177,28177,인천,미추홀구,643,-,2,13,14,211,1,124,7,93,2,1,-,-,-,175
176,28237,28237,인천,부평구,847,1,2,10,8,308,4,170,8,124,1,1,-,-,-,210
177,28260,28260,인천,서구,670,-,5,8,9,240,1,144,4,94,1,-,-,-,-,164
178,28185,28185,인천,연수구,467,-,1,4,4,177,2,101,1,76,1,1,-,-,-,99
179,28720,28720,인천,옹진군,32,-,-,1,-,3,-,3,-,2,-,8,12,-,-,3
180,28110,28110,인천,중구,177,1,1,2,4,57,-,36,1,16,1,2,1,-,-,55
181,46810,46810,전남,강진군,71,-,-,2,1,20,-,6,-,7,1,10,7,-,-,17
182,46770,46770,전남,고흥군,141,-,1,3,1,32,-,12,-,17,1,16,26,-,-,32
183,46720,46720,전남,곡성군,70,-,-,1,2,14,-,9,-,5,-,8,15,1,-,15
184,46230,46230,전남,광양시,210,-,1,4,5,62,-,40,1,25,1,8,14,-,-,49
185,46730,46730,전남,구례군,57,-,-,1,3,10,-,5,-,7,-,7,12,1,-,11
186,46170,46170,전남,나주시,214,-,1,4,10,61,-,34,3,25,1,13,15,-,-,47
187,46710,46710,전남,담양군,98,-,-,2,7,22,-,12,1,10,1,11,11,-,-,21
188,46110,46110,전남,목포시,406,-,5,16,7,135,2,63,9,48,1,1,-,-,1,118
189,46840,46840,전남,무안군,141,-,1,2,4,44,1,17,2,16,1,8,11,-,-,34
190,46780,46780,전남,보성군,98,-,-,2,4,23,-,9,-,9,1,10,15,-,-,25
191,46150,46150,전남,순천시,452,-,5,17,7,134,1,89,5,53,1,9,22,-,-,109
192,46910,46910,전남,신안군,77,-,-,2,2,12,-,5,-,5,1,16,23,-,-,11
193,46130,46130,전남,여수시,471,-,3,7,11,153,2,79,2,55,1,12,28,-,-,118
194,46870,46870,전남,영광군,116,-,2,-,2,34,-,15,-,13,1,7,13,-,-,29
195,46830,46830,전남,영암군,100,-,-,2,2,23,-,13,-,14,1,10,13,-,-,22
196,46890,46890,전남,완도군,96,-,-,1,-,25,-,10,-,9,-,12,18,1,-,20
197,46880,46880,전남,장성군,80,-,-,2,2,19,-,9,-,10,1,9,11,-,-,17
198,46800,46800,전남,장흥군,80,-,1,1,1,23,-,8,1,10,1,8,11,-,-,15
199,46900,46900,전남,진도군,68,-,-,2,1,16,-,7,-,7,1,6,15,-,-,13
200,46860,46860,전남,함평군,76,-,-,2,2,15,1,8,-,7,1,8,16,-,-,16
201,46820,46820,전남,해남군,135,-,2,2,2,36,-,16,-,10,1,13,18,-,-,35
202,46790,46790,전남,화순군,132,1,-,3,14,31,-,16,1,11,1,12,13,-,-,29
203,45790,45790,전북,고창군,123,-,1,1,5,31,-,13,-,11,1,12,24,-,-,24
204,45130,45130,전북,군산시,494,-,2,6,9,159,-,77,2,74,1,14,19,-,-,131
205,45210,45210,전북,김제시,188,-,-,8,4,51,-,19,1,19,1,14,25,-,-,46
206,45190,45190,전북,남원시,186,-,1,2,4,58,-,21,-,21,1,15,24,-,-,39
207,45730,45730,전북,무주군,53,-,-,-,-,12,-,5,-,8,-,5,9,1,-,13
208,45800,45800,전북,부안군,118,-,1,5,2,26,-,15,-,17,1,11,11,-,-,29
209,45770,45770,전북,순창군,72,-,-,1,1,17,-,6,-,6,-,10,17,1,-,13
210,45710,45710,전북,완주군,170,-,-,4,6,50,-,18,-,24,1,12,17,-,-,38
211,45140,45140,전북,익산시,556,1,1,7,11,174,1,95,5,78,1,15,24,-,-,143
212,45750,45750,전북,임실군,79,-,-,1,1,16,-,6,-,8,-,11,20,1,-,15
213,45740,45740,전북,장수군,44,-,-,-,-,8,-,5,-,4,-,5,11,1,-,10
214,45113,45113,전북,전주시 덕진구,591,1,2,7,17,211,1,115,10,77,-,-,2,-,-,148
215,45111,45111,전북,전주시 완산구,790,-,2,26,18,265,1,155,11,121,1,-,1,-,-,189
216,45180,45180,전북,정읍시,256,-,1,4,5,76,-,34,1,32,1,15,26,-,-,61
217,45720,45720,전북,진안군,54,-,-,2,-,11,-,4,-,5,1,10,12,-,-,9
218,50130,50130,제주,서귀포시,315,-,1,3,-,105,-,55,-,50,3,5,24,-,-,69
219,50110,50110,제주,제주시,930,-,5,4,10,343,1,163,-,143,3,6,23,-,1,228
220,44250,44250,충남,계룡시,61,-,-,1,1,18,-,13,-,11,1,2,-,-,-,14
221,44150,44150,충남,공주시,221,-,1,1,10,66,-,25,1,32,1,10,19,-,-,55
222,44710,44710,충남,금산군,119,-,-,1,3,35,-,13,-,16,1,9,8,-,-,33
223,44230,44230,충남,논산시,262,-,1,2,12,77,-,32,-,36,1,13,26,-,-,62
224,44270,44270,충남,당진시,265,-,1,3,4,81,1,44,-,32,1,11,19,-,-,68
225,44180,44180,충남,보령시,186,-,1,2,4,53,-,24,-,29,1,10,17,-,-,45
226,44760,44760,충남,부여군,137,-,-,1,5,30,-,16,-,16,1,15,20,-,-,33
227,44210,44210,충남,서산시,261,-,2,-,2,77,-,48,-,37,1,10,15,-,-,69
228,44770,44770,충남,서천군,116,-,-,1,5,30,-,12,-,14,1,10,17,-,-,26
229,44200,44200,충남,아산시,435,-,1,9,10,135,1,83,1,60,1,11,16,-,-,107
230,44810,44810,충남,예산군,156,-,1,1,-,41,-,21,-,22,1,12,16,-,-,41
231,44131,44131,충남,천안시 동남구,421,2,1,2,12,129,3,68,-,72,1,8,11,-,-,112
232,44133,44133,충남,천안시 서북구,648,-,1,18,11,213,5,116,6,98,1,4,7,-,-,168
233,44790,44790,충남,청양군,62,-,-,1,2,10,-,6,-,6,-,9,13,1,-,14
234,44825,44825,충남,태안군,112,-,-,1,1,29,1,13,1,13,-,6,16,1,-,30
235,44800,44800,충남,홍성군,179,-,1,-,6,50,-,26,2,23,1,11,14,-,-,45
236,43760,43760,충북,괴산군,64,-,-,2,1,9,-,5,-,6,1,12,17,-,-,11
237,43800,43800,충북,단양군,52,-,-,1,1,7,-,6,-,4,1,7,15,-,-,10
238,43720,43720,충북,보은군,74,-,-,2,2,16,-,6,-,7,1,8,15,-,-,17
239,43740,43740,충북,영동군,108,-,-,1,3,27,-,10,-,15,1,10,17,-,-,24
240,43730,43730,충북,옥천군,107,-,1,-,4,30,-,11,-,15,1,8,16,-,-,21
241,43770,43770,충북,음성군,169,-,-,4,3,47,-,26,-,21,1,8,18,-,-,41
242,43150,43150,충북,제천시,245,-,2,1,7,85,-,39,1,35,1,8,11,-,-,55
243,43745,43745,충북,증평군,62,-,-,1,-,20,-,8,-,8,1,1,1,-,-,22
244,43750,43750,충북,진천군,121,-,1,-,2,36,-,21,-,17,1,7,7,-,-,29
245,43111,43111,충북,청주시 상당구,345,-,2,3,3,118,-,58,3,57,2,4,11,-,-,84
246,43112,43112,충북,청주시 서원구,335,1,1,5,8,114,2,50,1,55,1,2,2,-,-,93
247,43114,43114,충북,청주시 청원구,285,-,1,5,4,99,-,53,-,40,1,3,7,-,1,71
248,43113,43113,충북,청주시 흥덕구,455,-,2,9,4,160,1,89,1,76,-,4,5,-,-,104
249,43130,43130,충북,충주시,347,-,2,3,7,123,1,49,1,47,1,13,16,-,-,84
