시도,시군구,고혈압,울혈성심부전,협심증,당뇨 급성 합병증,당뇨 만성 합병증,성인 천식,만성 폐쇄성 폐질환,세균성 폐렴,요로 감염증,충수 돌기,소아 천식,소아 위장 관염,소아 세균성 폐렴,소아 요로 감염,소아 천공성 충수염
경상북도,의성군,29.2,4.6,5.2,0.3,8.8,2.8,16.8,3.2,5.8,0.9,41.8,56.9,6.7,4.9,0
경기도,의왕시,18.8,3.3,4.5,0.2,4.6,1.6,7.2,1.4,5.4,1.5,3.1,24.7,0.5,3.7,0
경기도,의정부시,21.4,4.7,5.6,0.2,5.6,1.4,9.7,2.4,5.1,1.5,11.5,37.4,9.1,2.6,0.1
경기도,이천시,20.8,3.8,4.7,0.3,6.4,1.7,11,1.8,5,1.6,4.2,15.8,2.3,2.5,0.1
전라북도,익산시,26.5,3.7,4.3,0.4,11.8,2.8,13.3,8.7,7.6,1.4,52.4,54.6,1.7,9.4,0
강원도,인제군,24.6,6.3,10.7,0.4,10.9,4.1,9.7,4.3,7.2,1.5,10.6,31,2.4,6.3,0
전라북도,임실군,31.1,3,5.3,0.3,9.1,2.8,17.5,5.3,6,1.5,21.7,37.7,2.8,4.6,0.3
전라남도,장성군,33.4,4.4,6.7,0.4,9.5,3.9,26.6,11.1,7.8,1.9,74.2,84.8,27.8,6.9,0.2
전라북도,장수군,26.8,3.4,4.6,0.1,8.3,1.6,12.1,2.9,5.5,1.3,8.9,21.9,1.9,3.4,0.4
전라남도,장흥군,30.5,4.5,7.4,0.6,13,5.4,38.3,17,6.9,1.5,67,76.2,80.2,3.5,0
전라북도,전주시덕진구,28.3,3.7,4.6,0.2,8,2.4,14.9,5.5,5.9,1.5,15.7,30.2,6.4,4.9,0.1
전라북도,전주시완산구,30.4,3.7,5.1,0.2,9.4,2.4,16,5.8,7.1,1.7,18.2,33.8,4.1,5.9,0.1
강원도,정선군,28.6,7.9,8.6,0.4,7.4,2.5,11.5,4.5,5.4,1.6,21.6,30.7,7.4,2.6,0
전라북도,정읍시,32.2,5.6,5.3,0.3,13.1,4.4,24.6,4,7.8,1.3,37.7,38.6,6.7,3.7,0.1
제주특별자치도,제주시,18.6,5.5,11.2,0.3,6.5,2.3,10.7,3.1,5.8,1.3,23,32.4,5.5,3.7,0.1
충청북도,제천시,22.7,5.6,5.5,0.3,8.6,1.7,13.9,4.1,7.8,1.3,27.1,33.9,6.7,2,0
서울특별시,종로구,15.9,2.6,3.9,0.3,4.8,1.1,4.9,1.1,3.3,1,6,14.2,2.4,1.7,0.1
서울특별시,중구,19.3,2.8,4.9,0.2,5.2,1.3,5.2,2.8,4.1,1.2,8.4,27.5,7.2,2.6,0.3
부산광역시,중구,31.6,7.5,7.8,0.2,10.2,1.8,13.4,3.3,5.4,1.2,29,57.3,7.1,3.7,0
대구광역시,중구,23,3.2,3.6,0.3,7.2,1.4,9,2.5,5.8,2,35.4,35.8,8,5.6,0
인천광역시,중구,24.7,5.7,6,0.4,7.7,2,18.9,1.9,9.5,1.5,14.9,24.6,3,9.5,0.2
대전광역시,중구,27.8,4.5,5.8,0.3,7.4,1.2,8,2.8,6.1,1.5,26.8,47.7,7.3,16.8,0
울산광역시,중구,29.5,6.7,6.9,0.3,8.4,2.3,16.2,2.5,5.1,1.7,41.3,43.9,4.2,4.8,0.1
서울특별시,중랑구,20.7,4.5,5.7,0.3,7,1.3,7.9,2,4.9,1.4,9.8,25.3,2.6,5.1,0
